Censuses,Population,Increase,Percent of Increase,Area,Density,Per sq. Mile,Urban Pop.
1790,3929214,1376269,35.10,827844,4.75,4.746321771,119748
1800,5308483,1931398,36.38,827844,6.41,6.41241949,201806
1810,7239881,2393941,33.07,1999775,3.62,3.620347789,315653
1820,9633822,3232198,33.55,1999775,4.82,4.817452963,467252
1830,12866020,4203433,32.67,2059043,6.25,6.24854362,856512
1840,17069453,6122423,35.87,2059043,8.29,8.289993458,1449569
1850,23191876,8251445,35.58,2980959,7.78,7.780005025,2896539
1860,31443321,7115050,22.63,3025600,10.39,10.39242497,4645000
1870,38558371,11597412,30.08,3025600,12.74,12.74404118,7538000
1880,50155783,12466467,24.86,3025600,16.58,16.57713611,10794000
1890,62622250,,,3025600,20.70,20.69746497,17446000
