year_levels,amount,Label
1,3.47,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
2,1.79,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
3,0.78,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
4,0.99,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
5,1.17,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
6,0.83,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
7,1.01,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
8,1.15,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
9,1.09,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
10,1.24,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
11,1.25,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
12,1.56,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
13,1.74,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
14,1.7,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
15,1.82,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
16,2.25,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
17,2.54,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
18,2.66,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
19,2.72,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
20,2.92,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
21,3.03,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
22,0.84,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
23,0.15,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
24,0.28,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
25,0.35,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
26,0.39,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
27,0.49,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
28,0.49,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
29,0.5,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
30,0.53,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
31,0.54,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
32,0.54,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
33,0.53,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
34,0.59,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
35,1.06,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
36,1.21,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
37,2.11,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
38,2.4,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
39,2.5,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
40,2.54,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
41,2.4,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
42,2.5,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
43,2.21,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
44,2.4,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
45,2.12,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
46,1.92,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
47,3.02,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
48,3.28,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
49,3.51,<span style = 'font-size:9pt; color:#000000'><i><b>Projected production<sup>a</sup></span>
