city,state
new_york,NY
philadelphia,PA
boston,MA
charleston,SC
baltimore,MD
northern_liberties,PA
salem,MA
newport,RI
providence,RI
southwark,PA
marblehead,MA
new_orleans,LA
gloucester,MA
norfolk,VA
newburyport,MA
richmond,VA
nantucket,MA
portsmouth,NH
albany,NY
schenectady,NY
bridgewater,MA
savannah,GA
washington,DC
alexandria,VA
portland,ME
new_haven,CT
petersburg,VA
new_bedford,MA
lancaster,PA
cincinnati,OH
georgetown,DC
pittsburg,PA
brooklyn,NY
kensington,PA
charlestown,MA
newark,NJ
poughkeepsie,NY
hudson,NY
lexington,KY
troy,NY
hartford,CT
taunton,MA
lynn,MA
reading,PA
spring_garden,PA
louisville,KY
rochester,NY
buffalo,NY
utica,NY
moyamensing,PA
springfield,MA
lowell,MA
cambridge,MA
st_louis,MO
mobile,AL
syracuse,NY
allegheny,PA
detroit,MI
roxbury,MA
bangor,ME
wilmington,DE
williamsburg,NY
san_francisco,CA
chicago,IL
milwaukee,WI
columbus,OH
worcester,MA
cleveland,OH
jersey_city,NJ
memphis,TN
manchester,NH
dayton,OH
paterson,NJ
indianapolis,IN
scranton,PA
kansas_city,MO
toledo,OH
lawrence,MA
fall_river,MA
minneapolis,MN
nashville,TN
camden,NJ
st_paul,MN
atlanta,GA
denver,CO
omaha,NE
grand_rapids,MI
trenton,NJ
los_angeles,CA
portland_oregon,OR
st_joseph,MO
seattle,WA
