WKT,name,description,size
POINT (-91.5630208 46.5036493),WISCONSIN,1,8
POINT (-90.5962239 44.376446),WISCONSIN,1,8
POINT (-88.256136 42.9941627),WISCONSIN,1,8
POINT (-89.6786417 42.2254283),ILLINOIS,1,8
POINT (-89.3271935 40.1005583),ILLINOIS,1,8
POINT (-88.4156747 37.7501453),ILLINOIS,1,8
POINT (-87.2940642 38.14167),INDIANA,1,8
POINT (-85.9537295 39.8071342),INDIANA,1,8
POINT (-85.2286345 41.6222036),INDIANA,1,8
POINT (-94.3692595 40.2361228),MISSOURI,1,8
POINT (-92.7213103 38.0292559),MISSOURI,1,8
POINT (-90.0186735 36.8956413),MISSOURI,1,8
POINT (-88.2169157 36.9395591),KENTUCKY,1,8
POINT (-85.7340056 37.4994696),KENTUCKY,1,8
POINT (-83.6246306 38.460671),KENTUCKY,1,8
POINT (-93.4464079 32.080929),LOUISIANA,1,8
POINT (-92.6224333 30.8911308),LOUISIANA,1,8
POINT (-90.5350896 29.6410383),LOUISIANA,1,8
POINT (-90.2054411 34.7580705),MISSISSIPPI,1,8
POINT (-89.7441149 32.5270771),MISSISSIPPI,1,8
POINT (-88.700322 30.5985494),MISSISSIPPI,1,8
POINT (-87.8873259 34.7400165),ALABAMA,1,8
POINT (-86.9974333 32.7486892),ALABAMA,1,8
POINT (-85.547238 31.3144422),ALABAMA,1,8
POINT (-84.7562224 34.6767966),GEORGIA,1,8
POINT (-83.9102751 32.6377394),GEORGIA,1,8
POINT (-82.0425993 31.2017437),GEORGIA,1,8
POINT (-78.3778401 43.0622828),NEW YORK,0,8
POINT (-75.894992 42.8047932),NEW YORK,0,8
POINT (-74.302025 42.1477853),NEW YORK,0,8
POINT (-74.7852511 39.3365131),NEW JERSEY,1,4
POINT (-74.5545948 40.063135),NEW JERSEY,1,4
POINT (-74.4447596 40.9319739),NEW JERSEY,1,4
POINT (-73.1922797 42.4090688),MASSACHUSETTS,0,4
POINT (-71.9178657 42.327899),MASSACHUSETTS,0,4
POINT (-70.9071235 41.9613373),MASSACHUSETTS,0,4
POINT (-79.1574559 39.5644988),MARYLAND,0,4
POINT (-77.0810399 39.2844442),MARYLAND,0,4
POINT (-75.5099694 38.3254124),MARYLAND,0,4
POINT (-122.4732337 41.2738686),CALIFORNIA,1,8
POINT (-120.3418861 37.1561407),CALIFORNIA,1,8
POINT (-116.0572181 34.0665219),CALIFORNIA,1,8
POINT (-88.0853179 46.2623518),MICHIGAN,0,8
POINT (-84.5806744 43.8099249),MICHIGAN,0,8
POINT (-83.4267053 40.7312507),MICHIGAN,0,8
POINT (-99.6972979 47.7624999),MINNESOTA,0,10
POINT (-95.3062003 45.4706747),MINNESOTA,0,10
POINT (-93.2444822 42.2076897),MINNESOTA,0,10
POINT (-85.5592167 30.5254534),FLORIDA,0,8
POINT (-82.2633182 29.2299437),FLORIDA,0,8
POINT (-80.8570682 26.2747967),FLORIDA,0,8
POINT (-109.294358 29.486549),EXI,0,10
POINT (-104.494287 28.137032),EXI,0,10
POINT (-100.504985 25.184651),EXI,0,10
